Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
metest4	191	Picture	checkerV	2208167	0	1	2167	2	0	2000	other	0
metest4	192	Picture	checker_flash	2212667	0	1	2167	2	0	2000	other	0
metest4	193	Picture	checker_flash	2217165	0	13	2169	14	0	2000	other	0
metest4	194	Picture	checker_flash	2221667	0	1	2167	2	0	2000	other	0
metest4	195	Picture	checker_flash	2226167	0	1	2167	2	0	2000	other	0
metest4	196	Picture	fix	2230661	0	17	11173	18	0	11000	other	0
metest4	197	Picture	btn_vis_left	2242000	0	1	2667	2	0	2500	other	0
metest4	197	Picture	fix	2256167	0	1	17167	2	0	17000	other	0
metest4	197	Response	4	2260318	4151	1						
metest4	197	Response	4	2264217	8050	1						
metest4	198	Response	4	2267947	11780	1						
metest4	199	Picture	btn_vis_left	2273500	0	1	2658	13	0	2500	other	0
metest4	199	Picture	fix	2287500	0	1	17167	2	0	17000	other	0
metest4	199	Response	4	2292267	4767	1						
metest4	199	Response	4	2297216	9716	1						
metest4	200	Response	4	2301467	13967	1						
metest4	201	Picture	checkerH	2304834	0	1	2166	2	0	2000	other	0
metest4	202	Picture	checker_flash	2309334	0	1	2161	21	0	2000	other	0
metest4	203	Picture	checker_flash	2313834	0	1	2166	2	0	2000	other	0
metest4	204	Picture	checker_flash	2318334	0	1	2166	2	0	2000	other	0
metest4	205	Picture	checker_flash	2322834	0	1	2158	13	0	2000	other	0
metest4	206	Picture	fix	2327334	0	1	11154	17	0	11000	other	0
metest4	207	Picture	calc_vis	2338667	0	1	2651	19	0	2500	other	0
metest4	208	Picture	fix	2352834	0	1	20158	17	0	20000	other	0
metest4	209	Picture	checkerH	2373167	0	1	2167	2	0	2000	other	0
metest4	210	Picture	checker_flash	2377667	0	1	2167	2	0	2000	other	0
metest4	211	Picture	checker_flash	2382167	0	1	2167	2	0	2000	other	0
metest4	212	Picture	checker_flash	2386667	0	1	2167	2	0	2000	other	0
metest4	213	Picture	checker_flash	2391167	0	1	2167	2	0	2000	other	0
metest4	214	Picture	fix	2395667	0	1	14167	2	0	14000	other	0
metest4	215	Picture	btn_vis_right	2410000	0	1	2667	2	0	2500	other	0
metest4	215	Picture	fix	2424334	0	1	17166	2	0	17000	other	0
metest4	215	Response	8	2427137	2803	1						
metest4	215	Response	8	2430948	6614	1						
metest4	216	Response	8	2434234	9900	16						
metest4	217	Sound	click_R	2441718	51	1			0		other	0
metest4	217	Picture	fix	2459167	0	1	11167	2	0	11000	other	0
metest4	217	Response	8	2459907	740	1						
metest4	217	Response	8	2463537	4370	1						
metest4	218	Response	8	2467456	8289	1						
metest4	219	Picture	calc_vis	2470500	0	1	2667	2	0	2500	other	0
metest4	220	Picture	fix	2484834	0	1	14162	22	0	14000	other	0
metest4	221	Sound	sent_aud	2499223	56	1			0		other	0
metest4	222	Picture	fix	2516334	0	1	11166	2	0	11000	other	0
metest4	223	Picture	rest	2527667	0	1	22159	19	0	22000	other	0
metest4	224	Picture	fix	2550000	0	1	8167	2	0	8000	other	0
metest4	225	Picture	rest	2558334	0	1	22166	3	0	22000	other	0
metest4	226	Picture	fix	2580665	0	20	8169	21	0	8000	other	0
metest4	227	Picture	sent_vis	2589000	0	2	2658	17	0	2500	other	0
metest4	228	Picture	fix	2603334	0	1	11166	3	0	11000	other	0
metest4	229	Picture	checkerH	2614660	0	20	2174	21	0	2000	other	0
metest4	230	Picture	checker_flash	2619159	0	14	2175	15	0	2000	other	0
metest4	231	Picture	checker_flash	2623658	0	18	2176	19	0	2000	other	0
metest4	232	Picture	checker_flash	2628167	0	1	2167	18	0	2000	other	0
metest4	233	Picture	checker_flash	2632667	0	1	2167	2	0	2000	other	0
metest4	234	Picture	fix	2637167	0	1	17167	2	0	17000	other	0
metest4	235	Sound	calc_aud	2654587	87	2			0		other	0
metest4	236	Picture	fix	2668167	0	1	8167	2	0	8000	other	0
metest4	236	Sound	click_L	2676565	65	1			0		other	0
metest4	237	Response	4	2690117	13617	1						
metest4	237	Picture	fix	2692001	0	1	5163	20	0	5000	other	0
metest4	238	Response	4	2694370	2369	7						
metest4	238	Sound	click_L	2697392	58	1			0		other	0
metest4	238	Response	4	2698361	1027	8						
metest4	239	Response	4	2712277	14943	1						
metest4	239	Picture	fix	2712834	0	1	8166	21	0	8000	other	0
metest4	239	Response	4	2716016	3182	1						
metest4	240	Response	4	2719537	6703	1						
metest4	241	Picture	calc_vis	2721167	0	1	2667	2	0	2500	other	0
metest4	242	Picture	fix	2735501	0	1	23159	18	0	23000	other	0
metest4	243	Picture	checkerV	2758834	0	1	2167	2	0	2000	other	0
metest4	244	Picture	checker_flash	2763334	0	1	2167	2	0	2000	other	0
metest4	245	Picture	checker_flash	2767834	0	1	2167	2	0	2000	other	0
metest4	246	Picture	checker_flash	2772334	0	1	2167	2	0	2000	other	0
metest4	247	Picture	checker_flash	2776834	0	1	2167	2	0	2000	other	0
metest4	248	Picture	fix	2781334	0	1	11167	2	0	11000	other	0
metest4	249	Picture	checkerH	2792667	0	1	2165	22	0	2000	other	0
metest4	250	Picture	checker_flash	2797154	0	20	2013	21	0	2000	other	0
metest4	251	Picture	checker_flash	2801501	0	1	2166	2	0	2000	other	0
metest4	252	Picture	checker_flash	2806001	0	1	2166	2	0	2000	other	0
metest4	253	Picture	checker_flash	2810501	0	1	2166	2	0	2000	other	0
metest4	254	Picture	fix	2815001	0	1	14166	2	0	14000	other	0
metest4	255	Picture	checkerH	2829334	0	1	2167	2	0	2000	other	0
metest4	256	Picture	checker_flash	2833834	0	1	2167	2	0	2000	other	0
metest4	257	Picture	checker_flash	2838334	0	1	2167	2	0	2000	other	0
metest4	258	Picture	checker_flash	2842832	0	14	2169	15	0	2000	other	0
metest4	259	Picture	checker_flash	2847334	0	1	2167	2	0	2000	other	0
metest4	260	Picture	fix	2851834	0	1	14167	2	0	14000	other	0
metest4	261	Picture	rest	2866167	0	1	22167	2	0	22000	other	0
metest4	262	Picture	fix	2888501	0	1	5166	2	0	5000	other	0
metest4	263	Picture	btn_vis_right	2893834	0	1	2667	2	0	2500	other	0
metest4	263	Picture	fix	2908167	0	1	17167	2	0	17000	other	0
metest4	263	Response	8	2912596	4429	1						
metest4	263	Response	8	2915676	7509	1						
metest4	264	Response	8	2918785	10618	1						
metest4	265	Picture	checkerV	2925501	0	1	2166	2	0	2000	other	0
metest4	266	Picture	checker_flash	2930001	0	1	2155	15	0	2000	other	0
metest4	267	Picture	checker_flash	2934501	0	1	2154	19	0	2000	other	0
metest4	268	Picture	checker_flash	2938832	0	12	2169	13	0	2000	other	0
metest4	269	Picture	checker_flash	2943334	0	1	2167	2	0	2000	other	0
metest4	270	Picture	fix	2947834	0	1	17156	13	0	17000	other	0
metest4	271	Picture	rest	2965167	0	1	22167	2	0	22000	other	0
metest4	272	Picture	fix	2987501	0	1	5166	2	0	5000	other	0
metest4	273	Sound	sent_aud	2992891	57	12			0		other	0
metest4	274	Picture	fix	3010161	0	14	14173	15	0	14000	other	0
metest4	275	Picture	sent_vis	3024501	0	1	2666	2	0	2500	other	0
metest4	276	Picture	fix	3038823	0	12	17011	13	0	17000	other	0
metest4	277	Picture	btn_vis_right	3056001	0	1	2666	2	0	2500	other	0
metest4	277	Picture	fix	3070167	0	2	11167	3	0	11000	other	0
metest4	277	Response	8	3073565	3398	1						
metest4	277	Response	8	3076545	6378	1						
metest4	278	Response	8	3078986	8819	12						
metest4	279	Sound	sent_aud	3081562	73	12			0		other	0
metest4	280	Picture	fix	3096334	0	1	11167	2	0	11000	other	0
metest4	281	Sound	sent_aud	3107730	63	1			0		other	0
metest4	282	Picture	fix	3123001	0	1	8157	22	0	8000	other	0
metest4	283	Picture	rest	3131334	0	1	22167	2	0	22000	other	0
metest4	284	Picture	fix	3153668	0	1	8166	2	0	8000	other	0
metest4	285	Picture	rest	3162001	0	1	22164	13	0	22000	other	0
metest4	286	Picture	fix	3184334	0	1	22167	2	0	22000	other	0
metest4	287	Picture	fix	3206659	0	14	60175	15	0	60000	other	0
